CenterX,CenterY,tag
33.381586,-7.591251,TZA001
39.164645,-7.984651,TZA002
37.094575,-7.88182,TZA003
33.764617,-9.333332,TZA004
33.726611,-9.358362,TZA005
38.85814,-8.031385,TZA006
33.605589,-9.223136,TZA007
38.807631,-7.792508,TZA008
36.675036,-8.382591,TZA009
33.711872,-9.293023,TZA010
32.644475,-7.683141,TZA011
33.358352,-9.292322,TZA012
35.419595,-9.914669,TZA013
34.777225,-9.262276,TZA014
35.044325,-9.272671,TZA015
36.688483,-8.485719,TZA016
35.246483,-8.405642,TZA017
39.277188,-7.324821,TZA018
36.141005,-8.307096,TZA019
39.219345,-7.275951,TZA020
38.158626,-6.088443,TZA021
34.672845,-9.787153,TZA022
39.031913,-7.338609,TZA023
39.04767,-8.25087,TZA024
35.312554,-8.473833,TZA025
39.099395,-7.672471,TZA026
38.955641,-7.747211,TZA027
34.750543,-9.459578,TZA028
33.895354,-9.285845,TZA029
33.584653,-9.284891,TZA030
35.018431,-9.447766,TZA031
38.861964,-7.087146,TZA032
39.166117,-7.351671,TZA033
35.179979,-8.453124,TZA034
35.410825,-8.43899,TZA035
39.295009,-7.170731,TZA036
33.508722,-9.278489,TZA037
36.293145,-8.914968,TZA038
35.145548,-9.687854,TZA039
35.043397,-8.805029,TZA040
38.932938,-7.575434,TZA041
34.545424,-9.825148,TZA042
33.481938,-9.528843,TZA043
35.043596,-9.460581,TZA044
33.821759,-9.173751,TZA045
33.566554,-9.309718,TZA046
39.073232,-7.198382,TZA047
38.688933,-8.059567,TZA048
34.650663,-9.771816,TZA049
36.020943,-8.411094,TZA050
33.828899,-9.578279,TZA051
39.05706,-7.222671,TZA052
34.019644,-9.273629,TZA053
33.353075,-9.288752,TZA054
36.811483,-8.858409,TZA055
39.292326,-7.189458,TZA056
34.578116,-9.586207,TZA057
37.54534,-6.96825,TZA058
36.846847,-8.76475,TZA059
39.137396,-7.471496,TZA060
33.577376,-9.256345,TZA061
38.303631,-6.139733,TZA062
32.982236,-7.738286,TZA063
35.39847,-8.311949,TZA064
35.396559,-8.624118,TZA065
33.917009,-9.303681,TZA066
39.16023,-6.621369,TZA067
36.065759,-8.356073,TZA068
35.355772,-8.495453,TZA069
34.77836,-9.453358,TZA070
35.437438,-8.614901,TZA071
33.523029,-9.257904,TZA072
36.537449,-8.622015,TZA073
39.18674,-7.329996,TZA074
31.209748,-8.522787,TZA075
33.430756,-9.345226,TZA076
34.857554,-9.517344,TZA077
34.880834,-9.572691,TZA078
34.094882,-9.312624,TZA079
39.297766,-6.976788,TZA080
39.139979,-7.268413,TZA081
36.815777,-7.49569,TZA082
38.648947,-6.077445,TZA083
33.656565,-9.380231,TZA084
38.478963,-6.495968,TZA085
38.829469,-6.4858,TZA086
33.642537,-7.868837,TZA087
33.807975,-9.194461,TZA088
37.670032,-6.088444,TZA089
34.402737,-9.209077,TZA090
34.532701,-9.027967,TZA091
39.234546,-7.238413,TZA092
33.39439,-7.687645,TZA093
35.487884,-9.89828,TZA094
36.685031,-8.301038,TZA095
39.29982,-7.177787,TZA096
32.293547,-8.364754,TZA097
35.860443,-7.694769,TZA098
32.265003,-8.439758,TZA099
32.795664,-9.264197,TZA100
33.226347,-6.835196,TZA101
35.567848,-6.425132,TZA102
36.246657,-7.077681,TZA103
35.621178,-7.800067,TZA104
31.574319,-7.929717,TZA105
35.943963,-7.607896,TZA106
33.156683,-8.919445,TZA107
35.898647,-6.352776,TZA108
38.287819,-6.908157,TZA109
38.470781,-7.701268,TZA110
32.026079,-8.930429,TZA111
34.766051,-8.754187,TZA112
